,family_history,know_resources,emp_mh_resources,mh_benefits,mh_with_coworkers,mh_with_supervisor,past_disorder,ph_or_mh_discuss,reveal_to_clients,mention_interview,share_with_f&f,num_employees,ever_diagnosed,identified,identifited_neg_consequences,medical_coverage,primarily_tech,primary_role_tech,self-employed,sought_treatment
922,I don't know,I know some,I don't know,Not eligible for coverage / NA,No,No,Don't Know,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
923,Yes,I know some,I don't know,Yes,No,No,No,Physical health,Not applicable to me,No,,,,,,,,,,
924,No,I know some,Yes,Yes,Yes,Maybe,No,Physical health,Not applicable to me,No,,,,,,,,,,
925,I don't know,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
926,I don't know,I know some,No,Yes,Maybe,Yes,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
927,I don't know,I know some,No,Yes,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
928,Yes,I know some,I don't know,I don't know,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
929,Yes,I know some,No,No,Yes,Yes,Possibly,Physical health,Not applicable to me,Maybe,,,,,,,,,,
930,I don't know,I know some,No,Yes,No,Maybe,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
931,No,I know some,No,Yes,Yes,Yes,Possibly,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
932,Yes,I know some,I don't know,Yes,Yes,Yes,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
933,No,I know some,Yes,Yes,Maybe,Maybe,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
934,Yes,I know some,Yes,Yes,Maybe,Yes,Possibly,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
935,No,I know some,No,I don't know,Maybe,Yes,No,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
936,Yes,I know some,Yes,Yes,Maybe,No,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
937,Yes,I know some,I don't know,I don't know,No,No,No,Physical health,Not applicable to me,No,,,,,,,,,,
938,Yes,I know some,Yes,I don't know,Maybe,Yes,Possibly,Physical health,Not applicable to me,Maybe,,,,,,,,,,
939,No,I know some,I don't know,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
940,Yes,I know some,I don't know,Yes,No,Maybe,No,Physical health,Not applicable to me,No,,,,,,,,,,
941,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
942,Yes,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
943,I don't know,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
944,Yes,I know some,I don't know,I don't know,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
945,Yes,I know some,Yes,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
946,No,I know some,I don't know,Yes,No,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
947,No,I know some,Yes,I don't know,Maybe,Maybe,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
948,Yes,I know some,I don't know,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
949,Yes,I know some,Yes,I don't know,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
950,Yes,I know some,Yes,Yes,Yes,Yes,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
951,Yes,I know some,I don't know,I don't know,Yes,Yes,Possibly,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
952,Yes,I know some,Yes,Yes,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
953,I don't know,"No, I don't know any",No,Yes,Maybe,Yes,Possibly,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
954,Yes,I know some,No,No,Yes,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
955,Yes,I know some,Yes,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
956,No,I know some,I don't know,Yes,Yes,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
957,No,I know some,Yes,Yes,No,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
958,Yes,I know some,I don't know,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
959,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
960,I don't know,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",Maybe,,,,,,,,,,
961,Yes,I know some,No,Yes,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
962,Yes,I know some,Yes,No,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
963,Yes,I know some,I don't know,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
964,Yes,I know some,No,I don't know,Maybe,No,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
965,No,I know some,Yes,I don't know,Maybe,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
966,Yes,I know some,No,Not eligible for coverage / NA,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
967,No,"Yes, I know several",No,Yes,Maybe,Yes,Possibly,Physical health,Not applicable to me,Maybe,,,,,,,,,,
968,No,I know some,I don't know,I don't know,Yes,Yes,Don't Know,Mental health,Not applicable to me,Maybe,,,,,,,,,,
969,No,I know some,No,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
970,I don't know,I know some,I don't know,I don't know,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
971,No,I know some,No,Yes,Maybe,Yes,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
972,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
973,No,I know some,No,Yes,Yes,Yes,No,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
974,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
975,Yes,I know some,Yes,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
976,I don't know,I know some,No,Yes,No,No,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
977,Yes,I know some,Yes,Yes,No,No,No,Physical health,Not applicable to me,No,,,,,,,,,,
978,Yes,I know some,Yes,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
979,No,I know some,I don't know,I don't know,Yes,Maybe,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
980,No,I know some,Yes,Yes,No,No,No,Physical health,Not applicable to me,No,,,,,,,,,,
981,I don't know,I know some,No,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
982,I don't know,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
983,Yes,I know some,I don't know,No,No,No,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
984,Yes,I know some,Yes,Yes,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
985,Yes,I know some,No,No,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
986,Yes,I know some,Yes,Yes,Yes,Maybe,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
987,Yes,I know some,No,No,No,No,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
988,I don't know,I know some,No,Yes,Maybe,No,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
989,Yes,I know some,No,I don't know,Maybe,Maybe,Possibly,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
990,I don't know,I know some,Yes,I don't know,No,No,No,Physical health,Not applicable to me,No,,,,,,,,,,
991,Yes,I know some,No,No,Yes,No,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
992,Yes,I know some,I don't know,Yes,Yes,No,Possibly,Physical health,Not applicable to me,Maybe,,,,,,,,,,
993,I don't know,I know some,No,Yes,Yes,No,Don't Know,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
994,Yes,I know some,No,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
995,No,I know some,I don't know,I don't know,Maybe,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
996,No,I know some,I don't know,I don't know,Maybe,Yes,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
997,No,I know some,I don't know,Yes,Maybe,Yes,No,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
998,I don't know,I know some,I don't know,Yes,Maybe,Maybe,No,Physical health,Not applicable to me,No,,,,,,,,,,
999,Yes,I know some,I don't know,Yes,Maybe,Maybe,Possibly,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1000,No,I know some,No,I don't know,Yes,Yes,No,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1001,Yes,I know some,I don't know,Not eligible for coverage / NA,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1002,Yes,I know some,Yes,Yes,Yes,Maybe,Possibly,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1003,Yes,I know some,No,Not eligible for coverage / NA,Yes,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1004,Yes,I know some,Yes,Yes,Yes,Yes,Possibly,Mental health,Not applicable to me,Maybe,,,,,,,,,,
1005,Yes,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",Maybe,,,,,,,,,,
1006,No,I know some,No,Yes,Maybe,No,Possibly,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1007,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1008,Yes,I know some,Yes,Yes,No,No,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1009,I don't know,I know some,Yes,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,Yes,,,,,,,,,,
1010,Yes,I know some,No,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1011,I don't know,I know some,No,Yes,Maybe,Yes,Possibly,Physical health,"Sometimes, if it comes up",No,,,,,,,,,,
1012,Yes,I know some,No,Yes,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1013,Yes,I know some,I don't know,Yes,No,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1014,No,I know some,No,I don't know,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1015,Yes,I know some,No,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1016,Yes,I know some,No,No,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1017,Yes,I know some,Yes,Yes,Yes,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1018,Yes,I know some,I don't know,Yes,Maybe,Maybe,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
1019,Yes,I know some,No,Yes,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1020,Yes,I know some,I don't know,Yes,Yes,Maybe,No,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
1021,Yes,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1022,Yes,I know some,I don't know,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1023,Yes,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
1024,No,I know some,No,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1025,I don't know,I know some,Yes,Yes,Maybe,Maybe,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
1026,No,I know some,No,No,No,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
1027,No,I know some,No,Yes,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1028,Yes,I know some,Yes,I don't know,No,No,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1029,No,I know some,No,I don't know,Maybe,Maybe,Don't Know,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1030,I don't know,I know some,I don't know,Yes,Yes,Maybe,Don't Know,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1031,I don't know,I know some,Yes,Not eligible for coverage / NA,No,No,No,Physical health,Not applicable to me,No,,,,,,,,,,
1032,Yes,I know some,No,Yes,Maybe,Yes,Possibly,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1033,I don't know,I know some,No,Yes,Yes,No,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
1034,I don't know,I know some,Yes,Yes,Maybe,No,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1035,I don't know,I know some,I don't know,Yes,No,No,No,Physical health,Not applicable to me,No,,,,,,,,,,
1036,I don't know,I know some,No,No,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1037,I don't know,I know some,Yes,Yes,Yes,Maybe,No,Physical health,Not applicable to me,No,,,,,,,,,,
1038,Yes,I know some,I don't know,I don't know,Maybe,No,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
1039,Yes,I know some,No,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1040,Yes,I know some,No,I don't know,Maybe,Maybe,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1041,No,I know some,I don't know,Yes,Yes,Yes,No,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1042,No,I know some,No,I don't know,No,No,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
1043,No,I know some,Yes,Yes,Yes,Yes,Possibly,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1044,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1045,No,I know some,No,I don't know,Yes,Yes,No,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
1046,No,I know some,I don't know,I don't know,Maybe,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
1047,Yes,I know some,Yes,Yes,Maybe,No,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1048,I don't know,I know some,Yes,Yes,Yes,Maybe,Yes,Mental health,Not applicable to me,Maybe,,,,,,,,,,
1049,Yes,I know some,No,I don't know,No,Maybe,Possibly,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1050,Yes,I know some,Yes,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1051,Yes,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",No,,,,,,,,,,
1052,Yes,I know some,No,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1053,Yes,I know some,No,Yes,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1054,Yes,I know some,Yes,Yes,No,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1055,Yes,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1056,I don't know,I know some,Yes,I don't know,Maybe,Maybe,No,Physical health,Not applicable to me,No,,,,,,,,,,
1057,No,I know some,I don't know,Yes,Maybe,Yes,Possibly,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1058,I don't know,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
1059,No,I know some,I don't know,No,Yes,Yes,No,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1060,Yes,I know some,No,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1061,Yes,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it doesn't matter",No,,,,,,,,,,
1062,Yes,"No, I don't know any",No,Yes,Maybe,Yes,Don't Know,Physical health,"No, because it doesn't matter",No,,,,,,,,,,
1063,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1064,I don't know,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1065,I don't know,I know some,Yes,Yes,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1066,I don't know,I know some,No,Not eligible for coverage / NA,Maybe,No,No,Physical health,Not applicable to me,No,,,,,,,,,,
1067,No,I know some,No,Yes,Maybe,Yes,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1068,I don't know,I know some,I don't know,I don't know,Yes,Yes,Possibly,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1069,I don't know,I know some,Yes,Yes,Maybe,No,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1070,No,I know some,No,No,Yes,Maybe,Possibly,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1071,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1072,No,I know some,No,Not eligible for coverage / NA,Yes,Yes,No,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
1073,No,I know some,I don't know,I don't know,Yes,Yes,No,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1074,No,I know some,No,No,Yes,Yes,No,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1075,No,I know some,No,Yes,Maybe,Yes,No,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1076,No,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
1077,I don't know,I know some,No,No,No,Maybe,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1078,Yes,I know some,No,I don't know,Yes,Yes,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1079,No,I know some,I don't know,Not eligible for coverage / NA,Maybe,Maybe,No,Physical health,Not applicable to me,No,,,,,,,,,,
1080,I don't know,I know some,No,Yes,No,No,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
1081,I don't know,I know some,No,No,Maybe,No,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1082,Yes,I know some,I don't know,I don't know,Maybe,No,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
1083,Yes,I know some,No,Yes,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1084,Yes,I know some,No,No,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1085,No,I know some,I don't know,Yes,Maybe,Maybe,Possibly,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1086,Yes,I know some,Yes,Yes,Yes,Yes,Possibly,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1087,Yes,I know some,I don't know,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1088,No,I know some,I don't know,I don't know,Maybe,Maybe,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1089,Yes,I know some,No,No,Yes,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1090,Yes,I know some,I don't know,Yes,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1091,Yes,I know some,I don't know,No,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1092,I don't know,I know some,I don't know,Not eligible for coverage / NA,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
1093,I don't know,I know some,No,Not eligible for coverage / NA,No,Maybe,No,Physical health,Not applicable to me,No,,,,,,,,,,
1094,I don't know,I know some,I don't know,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1095,I don't know,I know some,I don't know,Yes,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1096,I don't know,I know some,No,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1097,I don't know,I know some,No,Yes,Maybe,No,Don't Know,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1098,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1099,Yes,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
1100,I don't know,I know some,Yes,Yes,Yes,Yes,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1101,Yes,I know some,I don't know,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1102,Yes,I know some,No,Yes,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1103,Yes,I know some,I don't know,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1104,I don't know,I know some,No,No,Yes,Yes,No,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1105,I don't know,I know some,No,I don't know,Yes,Yes,Possibly,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1106,I don't know,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"No, because it doesn't matter",No,,,,,,,,,,
1107,Yes,I know some,No,No,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1108,No,I know some,No,No,Yes,No,Possibly,Mental health,Not applicable to me,Maybe,,,,,,,,,,
1109,No,"Yes, I know several",No,Yes,Maybe,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
1110,No,I know some,I don't know,I don't know,Maybe,Yes,No,Physical health,Not applicable to me,Yes,,,,,,,,,,
1111,No,I know some,No,I don't know,No,Maybe,No,Physical health,Not applicable to me,No,,,,,,,,,,
1112,No,I know some,No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Yes,,,,,,,,,,
1113,Yes,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it doesn't matter",No,,,,,,,,,,
1114,Yes,I know some,No,I don't know,Yes,Maybe,No,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1115,No,I know some,I don't know,I don't know,Maybe,Maybe,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1116,Yes,I know some,No,I don't know,Maybe,Maybe,No,Physical health,Not applicable to me,No,,,,,,,,,,
1117,I don't know,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1118,Yes,I know some,No,Yes,Maybe,Maybe,Don't Know,Physical health,Not applicable to me,No,,,,,,,,,,
1119,I don't know,I know some,I don't know,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1120,Yes,I know some,I don't know,I don't know,No,No,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1121,No,I know some,I don't know,Yes,Maybe,Yes,Possibly,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1122,Yes,I know some,No,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1123,I don't know,I know some,No,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1124,No,I know some,No,I don't know,Maybe,Maybe,No,Physical health,Not applicable to me,No,,,,,,,,,,
1125,Yes,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1126,No,"No, I don't know any",No,Yes,Maybe,Yes,No,Physical health,Not applicable to me,No,,,,,,,,,,
1127,I don't know,I know some,No,No,Maybe,Maybe,No,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1128,Yes,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",No,,,,,,,,,,
1129,Yes,I know some,No,No,Maybe,No,Possibly,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1130,I don't know,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1131,Yes,I know some,Yes,Yes,No,No,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1132,Yes,I know some,Yes,Yes,Maybe,Yes,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1133,Yes,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1134,Yes,I know some,Yes,Yes,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1135,I don't know,I know some,I don't know,Not eligible for coverage / NA,No,No,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1136,I don't know,I know some,I don't know,I don't know,Maybe,Yes,No,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1137,Yes,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
1138,No,I know some,No,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1139,I don't know,I know some,I don't know,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1140,Yes,I know some,I don't know,Not eligible for coverage / NA,Maybe,No,No,Physical health,Not applicable to me,No,,,,,,,,,,
1141,No,I know some,I don't know,Yes,Maybe,Maybe,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1142,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
1143,No,I know some,No,No,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1144,Yes,I know some,No,Yes,Maybe,Yes,No,Physical health,"No, because it doesn't matter",Maybe,,,,,,,,,,
1145,Yes,I know some,I don't know,I don't know,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1146,Yes,I know some,No,Yes,Yes,Maybe,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1147,No,I know some,No,Not eligible for coverage / NA,No,No,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1148,Yes,I know some,No,I don't know,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1149,Yes,I know some,I don't know,I don't know,No,No,No,Physical health,Not applicable to me,No,,,,,,,,,,
1150,Yes,I know some,No,I don't know,No,No,No,Physical health,Not applicable to me,No,,,,,,,,,,
1151,Yes,I know some,Yes,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
1152,Yes,I know some,Yes,Yes,Yes,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
1153,I don't know,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"No, because it doesn't matter",No,,,,,,,,,,
1154,I don't know,I know some,Yes,Yes,Maybe,Maybe,Possibly,Physical health,Not applicable to me,No,,,,,,,,,,
1155,No,I know some,No,I don't know,Maybe,Maybe,No,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1156,I don't know,"No, I don't know any",No,Yes,Maybe,Yes,No,Physical health,Not applicable to me,Maybe,,,,,,,,,,
1157,Yes,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
1158,No,I know some,I don't know,Yes,No,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
1159,Yes,I know some,No,I don't know,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
